Title,Price,Year,Mileage,Fuel,Engine,Transmission,Location,Brand
Honda Civic 11th (FE) Generation 2024 RS for Sale,8750000.0,2024,43000.0,Petrol,1500 cc,Automatic,Lahore,Honda
Suzuki Cultus  2024 VXL for Sale,3800000.0,2024,36000.0,Petrol,1000 cc,Manual,Karachi,Suzuki
KIA Sportage  2023 AWD for Sale,7500000.0,2023,55000.0,Petrol,2000 cc,Automatic,Islamabad,KIA
Daihatsu Move  2022 Custom RS SA for Sale,3800000.0,2022,22500.0,Petrol,660 cc,Automatic,Lahore,Daihatsu
Peugeot 2008  2022 Active for Sale,5000000.0,2022,29850.0,Petrol,1200 cc,Automatic,Gujranwala,Peugeot
Nissan Dayz  2022 Highway Star S hybrid X pro pilot for Sale,4600000.0,2022,16000.0,Hybrid,660 cc,Automatic,Islamabad,Nissan
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Beige Interior for Sale,6650000.0,2022,20000.0,Petrol,1800 cc,Automatic,Karachi,Toyota
KIA Sportage  2022 FWD for Sale,6180000.0,2022,103000.0,Petrol,2000 cc,Automatic,Faisalabad,KIA
Honda N Box  2021 Custom GL for Sale,3500000.0,2021,97000.0,Petrol,660 cc,Automatic,Islamabad,Honda
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,6450000.0,2021,54000.0,Petrol,1800 cc,Automatic,Islamabad,Honda
KIA Sorento  2021 3.5 FWD for Sale,6815000.000000001,2021,84000.0,Petrol,3500 cc,Automatic,Lahore,KIA
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,6400000.0,2021,41000.0,Petrol,1800 cc,Automatic,Karachi,Honda
Suzuki Hustler  2021 J Style II for Sale,3850000.0,2021,56786.0,Hybrid,660 cc,Automatic,Karachi,Suzuki
Toyota Prado  2021 TX L Package 2.7 for Sale,32000000.0,2021,31000.0,Petrol,2700 cc,Automatic,Rawalpindi,Toyota
Nissan Note  2020 e-Power S for Sale,5500000.0,2020,12345.0,Hybrid,1200 cc,Automatic,Islamabad,Nissan
Toyota Corolla  2018 Altis Grande CVT-i 1.8 for Sale,5450000.0,2018,112000.0,Petrol,1800 cc,Automatic,Lahore,Toyota
Honda N Wgn  2018 Custom G for Sale,3300000.0,2018,85000.0,Petrol,660 cc,Automatic,Gujranwala,Honda
Toyota Corolla  2017 GLi Automatic 1.3 VVTi for Sale,3950000.0,2017,109000.0,Petrol,1300 cc,Automatic,Lahore,Toyota
Toyota Vitz  2016 F 1.0 for Sale,3100000.0,2016,227390.0,Petrol,1000 cc,Automatic,Lahore,Toyota
Suzuki Alto  2015  for Sale,2850000.0,2015,80000.0,Petrol,660 cc,Automatic,Rawalpindi,Suzuki
Toyota Corolla  2014 XLi VVTi for Sale,2590000.0,2014,180000.0,Petrol,1300 cc,Manual,Wah Cantt,Toyota
Suzuki Wagon R  2013 FX Limited for Sale,2430000.0,2013,119804.0,Petrol,660 cc,Automatic,Lahore,Suzuki
Nissan Clipper  2012 E for Sale,1500000.0,2012,130000.0,Petrol,660 cc,Automatic,Lahore,Nissan
Toyota Corolla  2011 XLi VVTi Limited Edition for Sale,2550000.0,2011,282000.0,Petrol,1300 cc,Manual,Rawalpindi,Toyota
Toyota Corolla  2011 GLi 1.3 VVTi for Sale,2950000.0,2011,180000.0,Petrol,1300 cc,Manual,Kharian,Toyota
Suzuki Baleno  2009  for Sale,1650000.0,2009,1000.0,Petrol,1300 cc,Manual,Lahore,Suzuki
Toyota Probox  2006 F for Sale,2050000.0,2006,120000.0,Petrol,1500 cc,Automatic,Islamabad,Toyota
Suzuki Cultus  2006 VXR for Sale,965000.0,2006,1.0,Petrol,1000 cc,Manual,Karachi,Suzuki
Toyota Corolla 9th (E120) Generation 2005 2.0D Saloon for Sale,2200000.0,2005,19.0,Diesel,2000 cc,Manual,Khanpur,Toyota
Mercedes Benz E Class 4th (W212) Generation 2004 E200 for Sale,4350000.0,2004,161822.0,Petrol,1800 cc,Automatic,Islamabad,Mercedes
Hyundai Santro  2004 Club for Sale,1060000.0,2004,130000.0,Petrol,1000 cc,Manual,Lahore,Hyundai
